id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,hours,transactions,price,messaging
XkTmEKciuWS-WfIboR2rxQ,kennedy-park-chicago,Kennedy Park,https://s3-media1.fl.yelpcdn.com/bphoto/9pLPU7tspAND1erhMIciwg/o.jpg,False,False,https://www.yelp.com/biz/kennedy-park-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+13127476198,(312) 747-6198,1,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}, {'alias': 'swimmingpools', 'title': 'Swimming Pools'}]",4.0,"{'address1': '11320 S Western Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60655', 'country': 'US', 'state': 'IL', 'display_address': ['11320 S Western Ave', 'Chicago, IL 60655'], 'cross_streets': ''}","{'latitude': 41.687146, 'longitude': -87.682034}","['https://s3-media1.fl.yelpcdn.com/bphoto/9pLPU7tspAND1erhMIciwg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/aMcYTnIqXNsLWneBS1fyMA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/_s6dWyzqx55_YaOAy0qROw/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
fyemY1Ydrrnh_nSQZhyjcA,that-jerk-spot-chicago-2,That Jerk Spot,https://s3-media3.fl.yelpcdn.com/bphoto/t3BIMgVWQeAedRokhc991w/o.jpg,True,False,https://www.yelp.com/biz/that-jerk-spot-chicago-2?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17735469551,(773) 546-9551,16,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",3.5,"{'address1': '113 Hermosa & Edmaire St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60643', 'country': 'US', 'state': 'IL', 'display_address': ['113 Hermosa & Edmaire St', 'Chicago, IL 60643'], 'cross_streets': ''}","{'latitude': 41.6875258192404, 'longitude': -87.6691449433565}","['https://s3-media3.fl.yelpcdn.com/bphoto/t3BIMgVWQeAedRokhc991w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/-n9DVOeNfSWoarfTuuR6KQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/SNG3G6VENniyjShBwhRK-w/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1200', 'end': '1930', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '1930', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '1930', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '1930', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1930', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],$,
m8xxHsNmEb8r0cHWTn7tlw,damenzos-pizza-and-restaurant-chicago,Damenzo's Pizza & Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/dj8BBrZ-9QGnvMFI1IMk0A/o.jpg,False,False,https://www.yelp.com/biz/damenzos-pizza-and-restaurant-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17736608851,(773) 660-8851,42,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'address1': '11226 S Halsted', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11226 S Halsted', 'Chicago, IL 60628'], 'cross_streets': '113th St & 112th St'}","{'latitude': 41.6894379287725, 'longitude': -87.6427682883615}","['https://s3-media2.fl.yelpcdn.com/bphoto/dj8BBrZ-9QGnvMFI1IMk0A/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/tHMN-Y1ErGzBmsRH2pciBw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/jUBwefKl8KkT--cvR4H9pg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '1000', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],$,
W8gjYRBS-bC20GgIN5krBg,joeys-pizza-chicago,Joey's Pizza,,False,False,https://www.yelp.com/biz/joeys-pizza-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17732640600,(773) 264-0600,2,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'address1': '11320 S Halsted St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11320 S Halsted St', 'Chicago, IL 60628'], 'cross_streets': '114th St & 113th St'}","{'latitude': 41.6879752, 'longitude': -87.6424876}",[],,[],,
G9Q1Sml8lM2yHWDrwhqzww,popeyes-louisiana-kitchen-chicago-20,Popeyes Louisiana Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/C1d5vmuXdOQ9AqOCFI5ZKg/o.jpg,True,False,https://www.yelp.com/biz/popeyes-louisiana-kitchen-chicago-20?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17739950527,(773) 995-0527,7,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",1.5,"{'address1': '11350 S Halsted St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11350 S Halsted St', 'Chicago, IL 60628'], 'cross_streets': '115th St & 114th St'}","{'latitude': 41.687184, 'longitude': -87.642537}","['https://s3-media4.fl.yelpcdn.com/bphoto/C1d5vmuXdOQ9AqOCFI5ZKg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/lDMQkUO70nHsLPePRr-7Sw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Py9t48bVGWTnUnI95rzruQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],$,
5I7XTiepBxkp5-pFKmxrPA,mcdonalds-chicago-135,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/xuz_V4yA9WqnSXwhrLjfjQ/o.jpg,True,False,https://www.yelp.com/biz/mcdonalds-chicago-135?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17735684663,(773) 568-4663,11,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.5,"{'address1': '11421 S Halsted', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11421 S Halsted', 'Chicago, IL 60628'], 'cross_streets': '115th St & 114th St'}","{'latitude': 41.68661, 'longitude': -87.641946}","['https://s3-media3.fl.yelpcdn.com/bphoto/xuz_V4yA9WqnSXwhrLjfjQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/BuZ-e8fw64Wo3TSGPzUlKA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/QiLoYjDxSOkYj4mMOErNxg/o.jpg']","[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],$,
9ZgaqwIdCjylbgnTJjqI6w,berry-berry-sweets-chicago,Berry Berry Sweets,https://s3-media4.fl.yelpcdn.com/bphoto/8JYTHbMIkm8kqp6Pk0cy7A/o.jpg,True,False,https://www.yelp.com/biz/berry-berry-sweets-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17084069486,(708) 406-9486,3,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",5.0,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['Chicago, IL 60628'], 'cross_streets': ''}","{'latitude': 41.6935844421387, 'longitude': -87.6182098388672}","['https://s3-media4.fl.yelpcdn.com/bphoto/8JYTHbMIkm8kqp6Pk0cy7A/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/HTcB1Nfb-h04Tl0GJaGNoA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/b8boguDPMa9Aaj0s1pEIvA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],$$,
UywCScGv6rdAEEpMg_nyOQ,old-fashioned-donuts-chicago,Old Fashioned Donuts,https://s3-media4.fl.yelpcdn.com/bphoto/L7IB1zfS2Mkl5PWIg7FL3w/o.jpg,True,False,https://www.yelp.com/biz/old-fashioned-donuts-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17739957420,(773) 995-7420,292,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.5,"{'address1': '11248 S Michigan Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11248 S Michigan Ave', 'Chicago, IL 60628'], 'cross_streets': '112th St & 113th St'}","{'latitude': 41.68933, 'longitude': -87.62134}","['https://s3-media4.fl.yelpcdn.com/bphoto/L7IB1zfS2Mkl5PWIg7FL3w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/nTPALdYnizQ7ff2dQgXOUw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/lLNdCJp8fBx4fd5CTn17mg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0600', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '1800', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],$,
ir8ke1fDSXunIHJRHDk3yw,new-tea-garden-chop-suey-chicago,New Tea Garden Chop Suey,https://s3-media4.fl.yelpcdn.com/bphoto/QUrQlJrNoeHHH7BIkD7sLw/o.jpg,False,False,https://www.yelp.com/biz/new-tea-garden-chop-suey-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17734680748,(773) 468-0748,4,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'address1': '11342 S Michigan Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11342 S Michigan Ave', 'Chicago, IL 60628'], 'cross_streets': '113th St & 114th St'}","{'latitude': 41.6876678466797, 'longitude': -87.6213226318359}","['https://s3-media4.fl.yelpcdn.com/bphoto/QUrQlJrNoeHHH7BIkD7sLw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/7_bcktushdey7h1j5SuKpw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/lepIGUc6Ji17PkjRRHb5sw/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],$,
0vA5sDJ5GaoNy0VBugAmNQ,go-go-fish-and-steak-chicago,Go Go Fish & Steak,,True,False,https://www.yelp.com/biz/go-go-fish-and-steak-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17736148797,(773) 614-8797,2,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'address1': '11346 S Michigan Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11346 S Michigan Ave', 'Chicago, IL 60628'], 'cross_streets': '114th St & 113th St'}","{'latitude': 41.6874592, 'longitude': -87.6211113}",[],"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",,"{'url': 'https://www.yelp.com/raq/0vA5sDJ5GaoNy0VBugAmNQ?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA#popup%3Araq', 'use_case_text': 'Message the Business'}"
-jLlclwKA5tNdmuQP4Gh7Q,historic-pullman-foundation-chicago,Historic Pullman Foundation,https://s3-media4.fl.yelpcdn.com/bphoto/zQ_HvIUF0XCV0E2eH0Tmxw/o.jpg,False,False,https://www.yelp.com/biz/historic-pullman-foundation-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17737858181,(773) 785-8181,9,"[{'alias': 'museums', 'title': 'Museums'}]",4.5,"{'address1': '614 E 113th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60607', 'country': 'US', 'state': 'IL', 'display_address': ['614 E 113th St', 'Chicago, IL 60607'], 'cross_streets': ''}","{'latitude': 41.6894302368164, 'longitude': -87.6077423095703}","['https://s3-media4.fl.yelpcdn.com/bphoto/zQ_HvIUF0XCV0E2eH0Tmxw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/v3HUEeQ226p8dEcr_bML8A/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/A_L6dATWQKaQ8HRwln6B5w/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],,
